channel,v1,chisq,v3,v4,v5,v6,v7,nmass,m1,m2,tb,mu,oh2,v14,v15,si,v17,sv,at,ma,q3,tr
13,46.6909860582,37.7430007556,0.824679204359,2611.4224025381,8.0653075705391E-27,5.2691767368341E-07,4.2000000000000020,93.980321200000006,97.9646721111,108.982228927,5.1839080591,459.642777443,8.7571175023020545E-002,1.053E-09,1.075E-09,8.2934201002382E-46,13.866194111843,9.7799332490844071E-027,-3.75502764E+03,-2.84268974E+03,3.20626282E+03,1.6792657E+03
24,44.5010566704,37.2947476134,1,0.074061494990151,1.0677549797473E-26,3.3364983751072E-13,8.4999999999999876,177.01028700000001,176.071896682,-206.606028556,11.1100766667,852.653028489,0.19272887491243981,2.346E-11,2.407E-11,4.0784890921851E-47,23.999989434312,1.0677549797473240E-026,3.73764637E+03,-3.91469851E+03,2.8484974E+03,6.99945368E+02
13,42.2119633535,33.6252716938,0.950298103785,426.12878361056,7.6534644996367E-27,4.8375080695653E-07,3.9000000000000026,88.228102699999994,91.9214987806,103.57265847,6.6316444093,388.712836979,8.9245446889834601E-002,1.407E-09,1.446E-09,1.1337930887122E-45,14.525898950981,8.0537512062301909E-027,3.23143827E+03,1.04442054E+03,1.72656172E+03,1.87618733E+03
24,45.0790393228,38.5863384353,1,0.026084598279849,1.0300984132621E-26,1.2984519139777E-12,8.5999999999999872,178.01059200000000,175.892922712,225.375797891,15.0674052211,1237.29561943,0.20717123527993972,1.19E-11,1.256E-11,2.261448637781E-47,23.999958933855,1.0300984132621283E-026,2.07273332E+03,1.01989692E+03,-1.57867504E+03,-8.98611972E+02
13,47.1296694389,38.1574313499,0.662914949792,1980.5019464188,7.0329629094357E-27,6.5138718328659E-07,4.2000000000000020,94.537441799999996,99.004974787,111.908634298,5.2620796323,421.612398455,9.9994878318478475E-002,1.337E-09,1.365E-09,1.2024465081436E-45,14.591379744536,1.0609148144331886E-026,-3.78222506E+03,-2.85012253E+03,3.2047159E+03,1.71535413E+03
13,47.7381808592,39.3683117391,1,1652.5104167425,1.8615973641314E-26,4.163291419363E-07,4.2000000000000020,95.268734300000006,99.8803167771,110.760727381,7.15252844314,371.127811358,5.6861675906414236E-002,1.49E-09,1.522E-09,7.6224856035206E-46,14.959602172651,1.8615973641314053E-026,-3.81523038E+03,-2.77501806E+03,3.07580197E+03,1.76421914E+03
24,46.9714432247,38.6893589842,0.736771249489,14.327227443432,1.1198508125662E-26,8.9806032399504E-09,8.6999999999999869,181.33270800000000,186.591624459,-259.215404126,33.7333597509,283.404011952,0.15297726901808356,1.557E-09,1.593E-09,2.1449580493208E-45,23.717639397167,1.5199436912649297E-026,3.18868846E+03,-3.7242245E+03,-3.62308496E+03,-6.1813606E+02
13,43.310869853,35.8008084393,1,1199.7789825296,6.5960959592136E-27,4.3106634217847E-07,3.9000000000000026,89.486722099999994,93.1059429398,105.212825723,5.15117850368,448.711718268,0.11326340746557394,1.078E-09,1.101E-09,1.0984081694981E-45,15.06420002773,6.5960959592135742E-027,-3.69679923E+03,-1.99354096E+03,-1.39796446E+03,-2.56011554E+03
24,47.5989058502,39.3344175811,0.790869910926,0.0060066307916447,1.1241957742222E-26,1.2032083571628E-14,8.8999999999999861,185.17180800000000,183.961674974,-413.374347732,6.43089454888,1283.69070417,0.14495968106889781,1.485E-11,1.53E-11,1.9465799169519E-47,23.999999623276,1.4214673724354124E-026,-3.84410061E+03,1.89794577E+03,2.6092787E+03,7.48410671E+02
13,47.5871932444,39.2212122606,1,661.86525657835,6.8381093242926E-27,4.1666696233228E-07,4.2000000000000020,95.077908500000007,99.2105987978,114.406865106,8.25862948409,359.674431104,0.16726078534945901,1.092E-09,1.116E-09,1.6437407162237E-45,14.964625333406,6.8381093242925805E-027,-3.80907376E+03,-2.79530753E+03,3.05399061E+03,1.81252079E+03
24,45.4430834431,37.3037156505,0.714677744634,0.056873252997792,1.1158688821972E-26,5.5157218878207E-13,8.6999999999999869,179.62098700000001,178.437244316,-1551.23942164,22.5333780407,781.849496202,0.13128685804384171,2.159E-11,2.222E-11,2.5614885743299E-47,23.999982589021,1.5613594946469699E-026,2.53399542E+03,-3.93040908E+03,2.9925603E+03,6.83627249E+02
13,48.79372614,39.7454224374,0.926649450427,2066.2865784348,1.7542861269813E-26,4.5500390313193E-07,4.3000000000000016,96.652422500000000,101.445881884,112.799134526,6.25016121437,385.229790278,5.9427052327470906E-002,1.603E-09,1.636E-09,8.5661348407299E-46,14.337259341838,1.8931496977340342E-026,-3.72019897E+03,-2.78120446E+03,3.24330076E+03,1.74629319E+03
13,48.370589363,39.3370554873,0.853854056643,909.58137772398,7.0385816508486E-27,4.9634531950746E-07,4.3000000000000016,96.115411699999996,100.795846888,117.584983254,6.39565706271,366.8852642,0.15968971915189981,1.447E-09,1.478E-09,2.0788488094348E-45,13.940369545545,8.2433076192450859E-027,-3.76926609E+03,-2.9382548E+03,3.13480112E+03,1.66526019E+03
24,46.5884455757,38.7012443431,1,0.00021977834434125,1.1043744451294E-26,3.4320232687416E-16,8.7999999999999865,182.54195400000000,180.661792488,-381.768455274,12.099821526,1963.63100624,0.20213021257144159,1.383E-12,1.451E-12,2.5551769057681E-48,23.999999989224,1.1043744451294495E-026,-3.77147573E+03,1.81824103E+03,2.73305676E+03,7.23685467E+02
24,45.0250788412,36.9125747467,0.922875669896,0.054152185099464,1.1140534500387E-26,1.8045950391712E-12,8.5999999999999872,178.54143099999999,177.445469321,-407.381542483,48.8602139707,675.790817326,0.17788651878256834,3.164E-11,3.273E-11,5.1016448217332E-47,23.999942962764,1.2071544265157792E-026,3.10792326E+03,-3.58798375E+03,-3.41125921E+03,-6.32695185E+02
